ticker,name,close,change,change_abs,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.All,volume,market_cap_basic,sector,industry
NYSE:BCO,BCO,115.6000,-0.31%,-0.3600,4.35%,-0.03%,23.86%,28.39%,23.89%,11.89%,147.27%,699.58%,"17,630","$4,816,160,090",Commercial Services,Miscellaneous Commercial Services
NASDAQ:SHC,SHC,16.9300,0.18%,0.0300,4.06%,5.81%,38.88%,49.69%,23.31%,8.80%,-37.30%,-37.30%,"347,431","$4,808,908,834",Health Technology,Medical Specialties
NYSE:BOX,BOX,33.1500,-0.39%,-0.1300,1.97%,2.38%,0.45%,7.95%,3.85%,2.73%,99.34%,64.11%,"498,028","$4,802,964,706",Technology Services,Information Technology Services
NYSE:AUB,AUB,33.6750,2.26%,0.7450,0.91%,-6.12%,1.92%,29.22%,-11.33%,-8.34%,26.22%,573.50%,"189,976","$4,799,059,564",Finance,Regional Banks
OTC:SLFPF,SLFPF,2.6900,-2.89%,-0.0800,-2.89%,9.35%,5.49%,46.99%,58.24%,23.39%,-19.22%,-58.93%,"2,000","$4,794,653,690",Finance,Investment Managers
NASDAQ:DORM,DORM,156.9300,1.08%,1.6800,10.13%,-0.18%,28.36%,38.48%,21.06%,36.85%,71.56%,8159.47%,"43,197","$4,791,738,695",Consumer Durables,Automotive Aftermarket
NYSE:NNI,NNI,132.4100,0.74%,0.9700,3.19%,4.31%,7.91%,23.99%,23.81%,17.23%,100.77%,500.50%,"16,267","$4,789,771,158",Finance,Finance/Rental/Leasing
NYSE:SLGN,SLGN,44.7000,0.13%,0.0600,3.78%,6.53%,-19.26%,-12.76%,-14.40%,-12.20%,22.60%,1471.87%,"213,104","$4,782,595,050",Process Industries,Containers/Packaging
NYSE:BKH,BKH,65.8700,0.64%,0.4200,5.48%,10.78%,16.73%,9.06%,11.74%,7.84%,10.72%,3311.94%,"263,188","$4,780,962,596",Utilities,Gas Distributors
NYSE:ECG,ECG,93.5500,6.91%,6.0500,4.63%,13.66%,34.93%,130.70%,41.21%,133.58%,133.58%,133.58%,"215,689","$4,771,664,877",Industrial Services,Engineering & Construction
NASDAQ:ENPH,ENPH,36.3905,2.11%,0.7505,-1.94%,-3.42%,2.05%,-20.04%,-48.15%,-54.28%,-65.78%,385.21%,"3,141,312","$4,758,086,112",Electronic Technology,Semiconductors
NASDAQ:CVCO,CVCO,600.5400,1.23%,7.2800,12.47%,5.49%,44.05%,24.48%,33.76%,45.61%,235.07%,7907.20%,"23,698","$4,754,863,738",Consumer Durables,Homebuilding
NASDAQ:ACLX,ACLX,85.5475,1.76%,1.4775,-2.91%,8.49%,21.02%,37.54%,11.23%,-3.34%,350.25%,350.25%,"67,562","$4,744,371,248",Health Technology,Biotechnology
NASDAQ:HWC,HWC,55.9400,0.38%,0.2100,1.30%,-11.08%,-7.52%,7.72%,1.27%,8.58%,127.95%,1230.97%,"227,151","$4,741,193,227",Finance,Regional Banks
OTC:TWODF,TWODF,1.3400,-7.01%,-0.1010,-2.19%,1.52%,-11.55%,-12.13%,-14.21%,-34.63%,-12.42%,-73.20%,"4,251","$4,740,584,921",Consumer Durables,Homebuilding
NYSE:ABG,ABG,240.9500,-0.01%,-0.0200,-1.50%,-0.84%,2.47%,10.48%,-1.43%,4.83%,99.94%,1325.74%,"28,492","$4,737,230,945",Retail Trade,Specialty Stores
OTC:UMICF,UMICF,19.6700,-0.02%,-0.0030,-8.51%,28.39%,9.09%,112.19%,91.34%,71.04%,-51.49%,-67.62%,38,"$4,732,134,416",Non-Energy Minerals,Other Metals/Minerals
OTC:MZDAF,MZDAF,7.5000,3.09%,0.2250,6.08%,-5.47%,15.38%,17.19%,7.14%,6.01%,25.00%,-39.52%,114,"$4,723,991,088",Consumer Durables,Motor Vehicles
NASDAQ:HWCPZ,HWCPZ,24.3250,-0.14%,-0.0351,0.27%,-0.23%,3.51%,2.03%,4.09%,-2.58%,-10.96%,-3.28%,"1,752","$4,723,394,683",Finance,Regional Banks
NASDAQ:MRCY,MRCY,78.5950,1.28%,0.9950,3.28%,4.13%,50.02%,59.42%,85.32%,132.46%,1.19%,1397.05%,"52,801","$4,717,325,210",Electronic Technology,Aerospace & Defense
NASDAQ:IEP,IEP,8.2200,0.37%,0.0300,1.11%,-0.36%,-12.27%,-4.42%,-5.84%,-46.93%,-83.97%,-40.04%,"331,834","$4,713,511,014",Energy Minerals,Oil Refining/Marketing
NYSE:ST,ST,32.3300,0.25%,0.0800,2.44%,5.38%,-1.22%,51.68%,17.14%,-7.60%,-33.52%,79.61%,"314,921","$4,708,509,114",Electronic Technology,Electronic Equipment/Instruments
NYSE:KTB,KTB,84.7100,-1.43%,-1.2300,-1.96%,5.28%,31.91%,37.63%,-1.87%,8.78%,150.70%,111.83%,"92,920","$4,707,693,496",Consumer Non-Durables,Apparel/Footwear
OTC:GRGDF,GRGDF,50.7200,11.92%,5.4000,11.92%,18.87%,142.56%,407.20%,305.76%,238.13%,238.13%,238.13%,495,"$4,697,464,347",Distribution Services,Wholesale Distributors
NYSE:AUB/PA,AUB/PA,24.9303,0.32%,0.0803,1.38%,-0.76%,1.96%,2.55%,7.88%,1.51%,-6.03%,0.04%,"2,661","$4,692,888,833",Finance,Regional Banks
NASDAQ:SSRM,SSRM,23.1150,0.41%,0.0950,-7.61%,-0.28%,85.96%,131.15%,228.34%,255.07%,18.60%,443.88%,"1,073,413","$4,687,265,073",Non-Energy Minerals,Precious Metals
OTC:SFRRF,SFRRF,10.1700,7.05%,0.6700,4.31%,23.27%,31.40%,66.72%,62.98%,34.70%,208.18%,2442.50%,100,"$4,686,206,477",Non-Energy Minerals,Other Metals/Minerals
OTC:NPIFF,NPIFF,17.9100,-0.33%,-0.0600,1.12%,9.54%,6.99%,33.66%,50.76%,5.17%,-45.20%,4.12%,"1,808","$4,683,501,549",Utilities,Electric Utilities
OTC:JPSWF,JPSWF,63.6200,6.03%,3.6200,6.03%,-8.63%,35.33%,58.42%,35.33%,113.20%,287.93%,1945.66%,100,"$4,683,199,777",Producer Manufacturing,Industrial Machinery
NYSE:RDN,RDN,34.5200,0.67%,0.2300,5.12%,-4.40%,2.16%,8.15%,7.98%,0.70%,93.06%,656.60%,"94,040","$4,675,749,821",Finance,Specialty Insurance
OTC:GNNSF,GNNSF,2.1500,-0.23%,-0.0050,,-4.44%,-6.79%,65.38%,76.09%,48.28%,38.71%,141.57%,"7,500","$4,673,639,570",Health Technology,Biotechnology
OTC:UNLRF,UNLRF,0.1225,-4.22%,-0.0054,12.39%,17.79%,36.11%,64.43%,42.44%,-14.46%,-76.58%,-96.17%,"196,250","$4,673,375,000",Consumer Non-Durables,Household/Personal Care
NYSE:BDC,BDC,117.9150,-0.49%,-0.5850,5.90%,-10.19%,-7.91%,16.94%,3.25%,0.83%,237.58%,1889.79%,"49,643","$4,671,772,832",Producer Manufacturing,Electrical Products
NASDAQ:CZR,CZR,22.4150,-2.88%,-0.6650,3.41%,-15.35%,-22.33%,-18.79%,-33.41%,-48.34%,-58.71%,371.89%,"2,882,078","$4,662,130,160",Consumer Services,Casinos/Gaming
NASDAQ:SIGIP,SIGIP,17.9100,1.24%,0.2199,1.19%,-3.29%,5.60%,2.46%,2.52%,-9.09%,-30.64%,-30.64%,"1,412","$4,658,699,099",Finance,Property/Casualty Insurance
NYSE:BC,BC,71.2550,0.88%,0.6250,14.14%,13.10%,17.23%,50.30%,8.77%,-8.34%,12.94%,3354.79%,"467,262","$4,655,146,181",Producer Manufacturing,Trucks/Construction/Farm Machinery
NYSE:CE,CE,42.5000,0.35%,0.1500,6.89%,-0.72%,-26.24%,-0.61%,-38.86%,-67.39%,-64.36%,165.62%,"246,383","$4,653,908,065",Process Industries,Chemicals: Specialty
NASDAQ:PTGX,PTGX,74.7500,1.03%,0.7650,-1.12%,15.00%,38.81%,68.51%,92.41%,60.03%,267.68%,522.92%,"367,770","$4,650,295,846",Health Technology,Pharmaceuticals: Major
OTC:HISEF,HISEF,3.0000,-3.23%,-0.1000,-15.73%,-9.09%,0.00%,-1.96%,-16.90%,25.00%,134.38%,733.33%,"7,000","$4,641,478,015",Consumer Durables,Electronics/Appliances
NYSE:LAZ,LAZ,49.0600,-0.12%,-0.0600,0.51%,-12.88%,-10.57%,23.51%,-5.51%,-4.92%,34.82%,96.24%,"371,292","$4,629,176,139",Finance,Investment Banks/Brokers
NASDAQ:SIGI,SIGI,76.0600,-0.65%,-0.5000,-5.59%,-2.75%,-0.08%,-14.06%,-19.17%,-20.20%,34.88%,17229.96%,"254,690","$4,628,273,948",Finance,Property/Casualty Insurance
NASDAQ:QLYS,QLYS,128.2100,0.24%,0.3100,0.91%,-5.48%,-8.00%,3.07%,-9.65%,4.68%,33.78%,968.42%,"57,855","$4,627,852,650",Technology Services,Packaged Software
OTC:DLKGF,DLKGF,253.0300,-6.11%,-16.4700,-6.11%,8.60%,18.79%,60.15%,60.02%,124.42%,1286.47%,149.29%,10,"$4,627,448,724",Energy Minerals,Integrated Oil
NYSE:NJR,NJR,46.0200,-0.37%,-0.1700,-1.05%,-2.77%,0.09%,-6.29%,-1.62%,-1.94%,55.32%,2320.44%,"77,681","$4,622,772,272",Utilities,Gas Distributors
NYSE:SPR,SPR,39.3400,1.13%,0.4400,3.28%,0.98%,-4.05%,12.46%,14.69%,24.85%,94.95%,42.79%,"242,107","$4,619,272,895",Electronic Technology,Aerospace & Defense
NYSE:BC/PC,BC/PC,24.3100,-0.53%,-0.1300,0.04%,-2.72%,-0.00%,6.86%,-0.41%,-3.30%,-9.96%,-2.49%,"1,870","$4,614,314,431",Producer Manufacturing,Trucks/Construction/Farm Machinery
NYSE:BC/PA,BC/PA,24.5800,1.07%,0.2600,1.24%,-1.88%,0.33%,5.49%,0.04%,-2.13%,-8.60%,-0.85%,"4,840","$4,614,314,431",Producer Manufacturing,Trucks/Construction/Farm Machinery
NYSE:ACA,ACA,94.0050,1.02%,0.9450,1.90%,-2.25%,4.28%,18.25%,-3.32%,0.81%,91.65%,323.45%,"26,786","$4,610,466,325",Non-Energy Minerals,Construction Materials
NASDAQ:DLO,DLO,15.4100,1.38%,0.2100,3.01%,3.46%,41.38%,69.90%,35.65%,73.93%,-50.29%,-50.29%,"634,907","$4,603,021,101",Technology Services,Packaged Software
NYSE:GVA,GVA,104.5800,1.09%,1.1300,-0.67%,-5.78%,9.58%,30.76%,18.22%,26.43%,413.15%,1860.85%,"94,374","$4,579,156,028",Industrial Services,Engineering & Construction
OTC:YACAF,YACAF,3.4650,0.58%,0.0200,2.21%,-4.94%,-18.47%,9.67%,-17.30%,-18.85%,147.50%,209.37%,"1,150","$4,575,322,463",Energy Minerals,Coal
NYSE:CNX,CNX,32.3500,-1.19%,-0.3900,1.89%,6.10%,-0.34%,13.55%,-13.29%,-9.61%,182.04%,384.82%,"401,890","$4,574,890,775",Energy Minerals,Oil & Gas Production
NASDAQ:MZTI,MZTI,166.1400,-0.55%,-0.9200,0.27%,-4.80%,-8.31%,-12.33%,-4.50%,-5.57%,-9.29%,80471.44%,"23,688","$4,574,498,759",Consumer Non-Durables,Food: Specialty/Candy
NYSE:LB,LB,59.7400,-0.07%,-0.0400,13.19%,4.29%,11.98%,-16.48%,-9.11%,13.73%,214.42%,214.42%,"119,683","$4,573,127,887",Commercial Services,Miscellaneous Commercial Services
NYSE:ENS,ENS,121.8000,0.54%,0.6600,-0.78%,10.29%,30.53%,42.49%,30.97%,22.45%,63.91%,874.40%,"47,964","$4,563,472,098",Producer Manufacturing,Electrical Products
NASDAQ:TMDX,TMDX,133.7500,3.75%,4.8400,17.92%,11.18%,25.06%,43.52%,108.98%,10.62%,894.79%,560.49%,"463,530","$4,559,585,100",Health Technology,Medical Specialties
OTC:TLPFF,TLPFF,76.1500,3.49%,2.5675,3.17%,1.57%,-26.80%,-25.95%,-10.41%,-28.26%,-69.54%,229.65%,206,"$4,559,089,628",Commercial Services,Miscellaneous Commercial Services
NASDAQ:CROX,CROX,83.2900,-2.18%,-1.8600,1.09%,5.79%,-24.16%,-14.71%,-24.66%,-37.35%,58.08%,455.27%,"568,192","$4,549,079,926",Consumer Non-Durables,Apparel/Footwear
NASDAQ:LSTR,LSTR,131.1900,1.00%,1.3000,-0.15%,8.81%,-7.86%,-4.16%,-23.90%,-26.96%,-0.19%,7973.23%,"155,754","$4,546,197,095",Transportation,Trucking
NASDAQ:OPCH,OPCH,27.9700,-0.25%,-0.0700,1.64%,1.16%,-6.30%,-12.95%,20.04%,-7.23%,102.68%,-48.20%,"366,589","$4,539,392,954",Health Services,Medical/Nursing Services
NYSE:AX,AX,80.1200,1.64%,1.2900,4.76%,-9.27%,-4.76%,27.74%,13.39%,21.16%,188.51%,2650.90%,"59,565","$4,534,409,329",Finance,Major Banks
OTC:ARKAF,ARKAF,59.8680,-8.44%,-5.5220,,-11.04%,-20.82%,-10.64%,-17.56%,-32.28%,-45.28%,59.88%,100,"$4,532,708,604",Process Industries,Chemicals: Major Diversified
OTC:HEGIF,HEGIF,3.9000,11.43%,0.4000,12.07%,25.81%,64.56%,44.44%,41.82%,7.44%,-46.68%,851.22%,160,"$4,532,271,250",Consumer Non-Durables,Household/Personal Care
OTC:BFLBF,BFLBF,121.4000,9.27%,10.2975,,7.32%,11.57%,53.09%,156.50%,125.23%,696.07%,46.75%,24,"$4,526,565,235",Industrial Services,Engineering & Construction
NASDAQ:EOSE,EOSE,16.2007,12.82%,1.8407,7.01%,57.75%,158.80%,234.38%,225.32%,424.29%,54.29%,54.29%,"12,240,062","$4,523,454,551",Producer Manufacturing,Electrical Products
NYSE:ZETA,ZETA,18.9950,1.63%,0.3050,6.24%,-12.83%,20.53%,52.20%,4.48%,-28.24%,110.82%,110.82%,"2,017,550","$4,521,585,039",Technology Services,Packaged Software
NYSE:CHH,CHH,97.6400,-0.30%,-0.2900,-1.07%,-9.93%,-26.92%,-22.42%,-31.38%,-26.24%,5.42%,1048.71%,"120,596","$4,517,644,188",Consumer Services,Hotels/Resorts/Cruise lines
NASDAQ:ENLT,ENLT,34.2500,0.62%,0.2100,-0.35%,19.84%,34.74%,116.50%,98.55%,114.33%,91.34%,91.34%,"4,148","$4,517,471,712",Utilities,Alternative Power Generation
NYSE:AROC,AROC,25.5850,0.49%,0.1250,7.82%,-1.60%,8.23%,7.59%,1.57%,25.66%,316.69%,151.44%,"337,886","$4,498,391,422",Industrial Services,Oilfield Services/Equipment
NASDAQ:NOVT,NOVT,124.7399,4.98%,5.9199,16.79%,13.48%,-1.06%,4.56%,-19.26%,-27.63%,7.49%,552.41%,"209,548","$4,487,347,348",Electronic Technology,Electronic Equipment/Instruments
OTC:WYNMF,WYNMF,0.8531,5.33%,0.0432,-1.14%,-4.05%,5.32%,33.85%,32.17%,7.56%,-44.96%,-39.50%,"103,660","$4,484,570,978",Consumer Services,Casinos/Gaming
OTC:RMLRF,RMLRF,2.3300,-1.89%,-0.0450,-18.25%,-7.17%,28.73%,45.62%,76.52%,51.79%,58.50%,39.52%,"21,250","$4,484,218,939",Non-Energy Minerals,Precious Metals
OTC:DNPUF,DNPUF,11.2816,-1.08%,-0.1234,-18.90%,-2.58%,55.82%,175.16%,178.56%,162.36%,-12.88%,43.71%,"3,580","$4,482,103,110",Health Technology,Pharmaceuticals: Major
OTC:MAORF,MAORF,3.5400,2.61%,0.0900,38.82%,70.60%,60.91%,86.32%,102.29%,111.34%,96.12%,637.50%,"1,000","$4,473,885,421",Consumer Services,Hotels/Resorts/Cruise lines
NYSE:MGY,MGY,23.3650,-1.16%,-0.2750,2.97%,-5.40%,-2.56%,11.31%,-1.66%,-9.01%,347.61%,133.65%,"372,808","$4,458,381,977",Energy Minerals,Oil & Gas Production
NASDAQ:CLBT,CLBT,18.6000,0.98%,0.1800,4.03%,2.76%,27.31%,-4.62%,-15.95%,3.33%,92.75%,92.75%,"186,639","$4,454,143,176",Technology Services,Packaged Software
OTC:GMINF,GMINF,19.5980,-2.00%,-0.3990,-16.75%,2.02%,52.16%,45.71%,154.85%,119.71%,605.98%,605.98%,"22,951","$4,451,060,284",Non-Energy Minerals,Precious Metals
NASDAQ:BGC,BGC,9.4350,0.16%,0.0150,3.68%,-1.31%,-5.65%,6.25%,3.23%,3.80%,248.15%,-55.54%,"572,824","$4,449,435,344",Finance,Investment Banks/Brokers
NYSE:AQNB,AQNB,25.7001,0.07%,0.0191,-0.35%,0.47%,0.52%,1.64%,1.70%,0.04%,-5.38%,0.78%,"1,608","$4,449,148,041",Utilities,Electric Utilities
OTC:ITHLF,ITHLF,2.6900,9.80%,0.2400,9.80%,-8.81%,-8.81%,-8.81%,-8.81%,-8.81%,-8.81%,-8.81%,200,"$4,448,540,775",Energy Minerals,Integrated Oil
OTC:ALFFF,ALFFF,0.8000,0.00%,0.0000,0.00%,0.00%,7.86%,14.29%,7.82%,6.67%,9.18%,-60.10%,"1,000","$4,446,829,167",Consumer Non-Durables,Food: Meat/Fish/Dairy
NYSE:AQN,AQN,5.7858,-0.24%,-0.0142,-2.60%,6.16%,-3.89%,9.37%,28.86%,14.80%,-63.15%,6.03%,"1,534,942","$4,443,638,997",Utilities,Electric Utilities
NYSE:GHC,GHC,1019.0300,0.44%,4.4900,7.07%,-12.42%,12.18%,12.24%,15.43%,31.11%,145.02%,28607.50%,"12,962","$4,442,839,461",Consumer Services,Other Consumer Services
NYSE:OSCR,OSCR,19.9050,1.45%,0.2850,-1.95%,10.83%,39.39%,66.29%,45.29%,24.25%,-44.71%,-44.71%,"7,234,400","$4,439,691,136",Health Services,Managed Health Care
NASDAQ:SLAB,SLAB,135.1800,0.52%,0.7000,-0.97%,1.43%,-0.37%,32.56%,7.66%,21.42%,28.33%,114.57%,"47,151","$4,435,973,142",Electronic Technology,Semiconductors
OTC:SFGLF,SFGLF,4.0000,-3.38%,-0.1400,-3.38%,-3.38%,-3.85%,-3.85%,-3.38%,-3.85%,118.58%,118.58%,300,"$4,432,366,529",Finance,Insurance Brokers/Services
NASDAQ:DJT,DJT,15.9801,0.50%,0.0801,3.40%,-8.58%,-15.58%,-38.54%,-53.47%,-53.91%,-0.12%,-0.12%,"1,986,981","$4,427,564,865",Commercial Services,Advertising/Marketing Services
NASDAQ:LAUR,LAUR,29.9400,0.54%,0.1600,2.25%,-2.54%,29.84%,52.91%,64.42%,89.97%,115.24%,139.52%,"276,058","$4,412,051,260",Commercial Services,Miscellaneous Commercial Services
NYSE:RSI,RSI,19.3000,1.37%,0.2600,-4.64%,-12.87%,30.32%,62.18%,39.35%,79.04%,55.65%,100.00%,"410,644","$4,411,287,030",Consumer Services,Casinos/Gaming
NASDAQ:FELE,FELE,99.0200,-0.25%,-0.2500,3.09%,4.25%,7.09%,11.57%,0.92%,-2.76%,56.90%,6699.40%,"44,414","$4,404,868,348",Producer Manufacturing,Industrial Machinery
NASDAQ:MENS,MENS,59.2550,-2.14%,-1.2950,3.05%,-1.96%,396.90%,295.03%,295.03%,295.03%,295.03%,295.03%,"74,782","$4,398,715,760",Health Technology,Pharmaceuticals: Major
NYSE:MCY,MCY,79.3650,0.58%,0.4550,0.83%,-2.67%,14.11%,45.46%,19.38%,19.10%,89.19%,1549.14%,"26,895","$4,395,918,816",Finance,Property/Casualty Insurance
NYSE:SKY,SKY,77.7500,0.97%,0.7500,10.91%,4.67%,18.99%,-8.21%,-12.78%,-14.21%,197.44%,41.36%,"106,037","$4,394,284,111",Consumer Durables,Homebuilding
NYSE:AB,AB,39.6300,0.81%,0.3200,-0.05%,4.15%,-7.86%,4.29%,6.36%,5.23%,21.68%,1465.63%,"60,834","$4,384,556,356",Finance,Investment Managers
OTC:AHICF,AHICF,16.1400,0.55%,0.0880,0.55%,-12.28%,-0.19%,-0.19%,-0.19%,15.70%,-48.99%,-51.71%,300,"$4,384,039,321",Health Technology,Medical Specialties
NASDAQ:FFIN,FFIN,30.5900,-3.96%,-1.2600,-2.98%,-11.05%,-16.99%,-8.41%,-16.05%,-17.97%,-2.27%,1903.67%,"280,489","$4,377,547,330",Finance,Major Banks
NYSE:RIG,RIG,3.9750,2.19%,0.0850,23.83%,8.90%,29.06%,78.25%,3.52%,-5.13%,377.42%,-63.86%,"50,537,715","$4,376,443,092",Industrial Services,Contract Drilling
NASDAQ:CALM,CALM,90.1200,0.86%,0.7700,-2.35%,-7.09%,-15.55%,-3.11%,-12.33%,2.15%,129.37%,4872.14%,"247,310","$4,370,784,515",Process Industries,Agricultural Commodities/Milling
OTC:ASMVF,ASMVF,10.5000,-4.55%,-0.5000,-12.13%,16.02%,41.13%,74.42%,21.95%,-25.00%,6.06%,250.00%,131,"$4,369,928,054",Electronic Technology,Electronic Production Equipment
NASDAQ:OS,OS,17.9400,-0.50%,-0.0900,7.75%,-11.06%,-28.24%,-15.22%,-37.18%,-41.75%,-31.00%,-31.00%,"247,748","$4,356,632,956",Technology Services,Packaged Software
NASDAQ:POWL,POWL,360.7700,5.60%,19.1300,8.31%,22.05%,48.28%,95.91%,60.34%,41.17%,1353.55%,9852.28%,"111,768","$4,353,970,322",Producer Manufacturing,Electrical Products
NYSE:HRI,HRI,130.7800,1.84%,2.3600,2.25%,5.31%,-11.03%,17.68%,-31.96%,-37.42%,186.92%,319.03%,"92,346","$4,346,677,861",Finance,Finance/Rental/Leasing
NYSE:VVV,VVV,34.0450,0.64%,0.2150,-1.72%,-9.04%,-4.18%,-1.15%,-5.67%,-18.94%,68.12%,41.27%,"284,180","$4,327,624,362",Consumer Services,Other Consumer Services
NYSE:CNR,CNR,83.8300,0.36%,0.3000,-8.31%,8.08%,3.81%,13.44%,-22.16%,-21.34%,1779.60%,272.58%,"200,972","$4,314,857,414",Energy Minerals,Coal
NASDAQ:AKRO,AKRO,53.7650,0.08%,0.0450,0.18%,12.83%,6.66%,32.65%,91.47%,86.10%,103.27%,232.70%,"134,864","$4,310,061,527",Health Technology,Pharmaceuticals: Major
NYSE:NSA/PB,NSA/PB,21.8500,0.11%,0.0247,-1.35%,-1.92%,1.32%,1.63%,1.35%,-2.80%,-6.62%,-6.62%,983,"$4,304,921,642",Finance,Real Estate Investment Trusts
NYSE:NSA/PA,NSA/PA,23.3050,0.67%,0.1550,0.63%,-2.33%,5.26%,3.47%,8.09%,0.06%,-12.45%,-6.41%,"1,131","$4,304,921,642",Finance,Real Estate Investment Trusts
NYSE:GKOS,GKOS,74.8900,-0.49%,-0.3700,-11.68%,-11.57%,-20.94%,-21.11%,-50.37%,-42.40%,28.57%,157.27%,"335,838","$4,294,940,650",Health Technology,Medical Specialties
OTC:ACLTF,ACLTF,39.0000,2.63%,1.0000,3.35%,8.03%,4.19%,8.12%,13.01%,2.42%,1.17%,-8.87%,200,"$4,292,164,842",Utilities,Electric Utilities
OTC:JBFCF,JBFCF,3.8250,-0.03%,-0.0010,-4.61%,-8.93%,-2.67%,-13.66%,-15.00%,-17.30%,9.29%,1076.92%,"6,216","$4,286,469,067",Consumer Services,Restaurants
OTC:BAFBF,BAFBF,8.7500,0.52%,0.0450,-2.78%,10.62%,24.35%,64.78%,75.00%,48.31%,195.00%,177.78%,"2,050","$4,274,516,245",Industrial Services,Engineering & Construction
NYSE:COMP,COMP,7.9700,3.91%,0.3000,9.63%,2.05%,11.62%,8.88%,35.08%,41.31%,-62.49%,-62.49%,"6,544,648","$4,271,823,210",Technology Services,Packaged Software
NYSE:SIG,SIG,104.3100,-0.22%,-0.2300,1.84%,9.50%,22.29%,78.28%,28.75%,11.00%,320.60%,20.36%,"79,610","$4,271,375,642",Retail Trade,Specialty Stores
OTC:AGLNF,AGLNF,6.3400,2.26%,0.1400,2.26%,6.55%,4.11%,-0.16%,-2.20%,-10.07%,-31.94%,-54.39%,220,"$4,265,217,604",Utilities,Alternative Power Generation
NYSE:UZF,UZF,18.7400,0.27%,0.0500,1.85%,-1.63%,-12.18%,-14.35%,-16.00%,-16.00%,-25.99%,-25.99%,"1,446","$4,261,654,428",Communications,Wireless Telecommunications
NYSE:UZE,UZE,18.5050,0.52%,0.0950,2.46%,-1.78%,-14.05%,-15.08%,-17.39%,-17.79%,-26.80%,-26.80%,"3,945","$4,261,654,428",Communications,Wireless Telecommunications
NYSE:UZD,UZD,21.8975,2.56%,0.5475,2.81%,2.09%,-9.89%,-7.10%,-5.53%,-7.02%,-17.31%,-14.13%,771,"$4,261,654,428",Communications,Wireless Telecommunications
OTC:FLIDF,FLIDF,74.9400,15.13%,9.8500,15.13%,15.13%,20.39%,44.12%,20.39%,44.12%,147.06%,-29.30%,200,"$4,259,348,334",Non-Energy Minerals,Construction Materials
NYSE:AD,AD,49.2900,-0.10%,-0.0500,-1.16%,1.61%,-35.14%,-26.65%,-21.76%,-17.73%,67.43%,228.60%,"19,720","$4,257,335,767",Communications,Wireless Telecommunications
OTC:VLOUF,VLOUF,18.1600,0.11%,0.0200,-2.37%,0.89%,-4.72%,1.17%,-3.97%,20.01%,8.68%,-99.89%,200,"$4,255,962,093",Non-Energy Minerals,Steel
OTC:BKEAF,BKEAF,1.6100,-1.83%,-0.0300,3.30%,0.00%,13.78%,30.68%,27.78%,31.97%,-12.26%,-48.06%,999,"$4,252,622,409",Finance,Major Banks
NASDAQ:SAIC,SAIC,92.1950,-8.39%,-8.4450,-4.77%,-6.46%,-20.05%,-24.53%,-16.85%,-36.05%,18.35%,156.10%,"642,225","$4,242,998,204",Technology Services,Information Technology Services
NASDAQ:VCTR,VCTR,63.5050,0.50%,0.3150,-3.93%,-4.62%,-9.19%,8.95%,-3.77%,9.13%,221.38%,418.41%,"69,377","$4,241,078,365",Finance,Investment Managers
NYSE:FSK,FSK,15.1350,0.56%,0.0850,2.47%,0.30%,-32.01%,-24.55%,-30.51%,-26.74%,-2.98%,-62.16%,"532,753","$4,238,805,574",Miscellaneous,Investment Trusts/Mutual Funds
NYSE:ZGN,ZGN,10.3550,-0.72%,-0.0750,4.07%,9.35%,13.29%,33.61%,23.57%,28.31%,0.53%,0.53%,"594,361","$4,235,927,437",Consumer Non-Durables,Apparel/Footwear
NASDAQ:SPSC,SPSC,111.5897,-0.77%,-0.8603,4.71%,1.74%,-19.01%,-17.16%,-40.09%,-41.17%,30.19%,1494.14%,"46,582","$4,230,227,048",Technology Services,Packaged Software
NYSE:ASB,ASB,25.5000,0.71%,0.1800,4.59%,-1.70%,-0.20%,14.30%,6.03%,12.88%,79.58%,4292.48%,"541,777","$4,229,124,910",Finance,Major Banks
OTC:FINN,FINN,13900.0000,0.35%,49.0000,1.45%,-1.56%,6.92%,13.93%,18.80%,17.80%,32.38%,341.27%,1,"$4,225,599,863",Finance,Major Banks
NASDAQ:OSIS,OSIS,250.2700,1.11%,2.7400,2.20%,5.47%,11.08%,23.72%,48.14%,64.49%,212.10%,1656.28%,"31,200","$4,211,021,094",Electronic Technology,Aerospace & Defense
NASDAQ:KYMR,KYMR,58.8650,1.91%,1.1050,-2.22%,15.06%,28.41%,80.18%,43.92%,20.26%,68.04%,68.19%,"118,562","$4,208,705,910",Health Technology,Biotechnology
OTC:TSUSF,TSUSF,17.2500,56.82%,6.2500,56.82%,56.82%,56.82%,56.82%,0.00%,42.33%,-38.39%,-7.75%,100,"$4,207,148,551",Retail Trade,Drugstore Chains
NYSE:ASB/PE,ASB/PE,21.7800,1.54%,0.3300,0.83%,-4.93%,5.32%,7.98%,-0.47%,-6.64%,-19.69%,-11.46%,"1,568","$4,199,272,264",Finance,Major Banks
NYSE:ASB/PF,ASB/PF,21.5000,0.09%,0.0200,-0.74%,-4.40%,4.80%,10.65%,2.78%,-3.15%,-22.44%,-13.93%,"2,661","$4,199,272,264",Finance,Major Banks
